trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.3, 'e': 0.7149999999999997}",35,0,-126.564534674213,"{0: 22, 1: 1, 2: 11, 3: 0, 4: 1}",0
59,False,"{'a': 0.3, 'e': 0.7099999999999997}",20,9,-13.849379792239084,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.7049999999999997}",30,12,-26.800537287579203,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.6999999999999997}",25,16,8.697968320540467,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.6949999999999997}",25,0,-3.896040113370418,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.3, 'e': 0.6899999999999997}",25,0,-120.6020810234076,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.6849999999999997}",20,9,-22.103248011494852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.3, 'e': 0.6799999999999997}",25,0,-42.9181691655726,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.3, 'e': 0.6749999999999997}",30,0,-89.85373244385576,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
67,False,"{'a': 0.3, 'e': 0.6699999999999997}",25,3,-95.61240754732547,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
68,False,"{'a': 0.3, 'e': 0.6649999999999997}",20,5,-1.7552325747827302,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.6599999999999997}",20,0,-27.716093605426018,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.3, 'e': 0.6549999999999997}",20,0,-64.21731879936775,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.3, 'e': 0.6499999999999997}",20,16,7.9684416241544005,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.6449999999999997}",25,11,1.0128354686299108,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.6399999999999997}",25,0,-25.11924360181257,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.3, 'e': 0.6349999999999997}",20,0,-73.98747828288,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.3, 'e': 0.6299999999999997}",20,0,-40.82548305011846,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.3, 'e': 0.6249999999999997}",35,0,-91.7931037414741,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
77,False,"{'a': 0.3, 'e': 0.6199999999999997}",25,0,-56.021797027652525,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.3, 'e': 0.6149999999999997}",30,18,2.375831676713781,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.6099999999999997}",30,0,-48.83119570391081,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.3, 'e': 0.6049999999999996}",30,0,-57.229368786395774,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
81,False,"{'a': 0.3, 'e': 0.5999999999999996}",20,9,-94.28895196015542,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
82,False,"{'a': 0.3, 'e': 0.5949999999999996}",20,0,-52.91243519208653,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
83,False,"{'a': 0.3, 'e': 0.5899999999999996}",30,0,-54.113437706574146,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",1
84,False,"{'a': 0.3, 'e': 0.5849999999999996}",25,1,-22.89230537635001,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.5799999999999996}",25,0,-29.295532343335214,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.3, 'e': 0.5749999999999996}",25,7,-105.40586969518738,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
